country,Year,Direct cost,Foregone earnings,Total costs,Gross earnings benefits ,Income tax effect,Social contribution effect,Transfers effect,Unemployment effect,Total benefits,Net present value,Internal rate of return,,Gender,,,
Australia,2005,-2891.318589,-22748.13419,-25639.45278,103115.7111,-41661.49031,0,-886.4002912,42163.37902,102731.1995,77091.74671,0.14227025,0,male,,,
Austria,2008,-1800.699633,-45844.25521,-47644.95484,284884.2853,-73821.9765,-59486.85476,-7587.039976,35028.9512,179017.3652,131372.4104,0.123524891,0,male,,,
Belgium,,,,,,,,,,,,,0,male,,,
Canada,2008,-3141.589547,-28731.35435,-31872.94389,136983.5822,-42770.024,-10509.61644,-384.7998472,38761.64817,122080.79,90207.84614,0.136271342,0,male,,,
Chile,,m,m,m,m,m,m,m,m,m,m,m,,male,,,
Czech Republic,2008,-2142.211827,-17516.60737,-19658.81919,108256.6591,-31800.57358,-23904.50481,0,83688.14372,136239.7244,116580.9053,0.212214715,0,male,,,
Denmark,2008,-745.9307249,-36225.37978,-36971.3105,187369.7638,-80160.17491,-17256.19614,-13570.8946,19356.67623,95739.17438,58767.86388,0.112166929,0,male,,,
Estonia,2008,-190.4930177,-12502.92454,-12693.41756,31070.86597,-9245.837467,-1259.893355,0,17586.22093,38151.35608,25457.93852,0.090539064,0,male,,,
Finland,2008,-210.2082145,-30193.28189,-30403.49011,77945.75865,-31680.87345,-6878.977645,-6960.672055,31517.88877,63943.12427,33539.63416,0.083587398,0,male,,,
France,2008,-2632.098956,-29771.58959,-32403.68854,114056.1316,-24880.81825,-20861.61383,-3284.189087,37502.9294,102532.4398,70128.75131,0.106774267,0,male,,,
Germany,2008,-3877.129318,-35677.6726,-39554.80191,63971.57094,-27910.65505,-29948.27107,-14223.38617,79490.31289,71379.57153,31824.76961,0.066846687,0,male,,,
Greece,,m,m,m,m,m,m,m,m,m,m,m,,male,,,
Hungary,2008,-880.4657167,-13072.5439,-13953.00962,73813.2338,-34400.67537,-19706.28762,0,42510.13744,62216.40825,48263.39863,0.152086292,0,male,,,
Iceland,,m,m,m,m,m,m,m,m,m,m,m,,male,,,
