Country,Year,Direct cost,Foregone earnings,Total costs,Gross earnings benefits ,Income tax effect,Social contribution effect,Transfers effect,Unemployment effect,Grants effect,Total benefits,Net present value,Internal rate of return,Gender
Australia,2005,-14426.02599,-36559.86944,-50985.89544,278519.3782,-113313.1614,0,0,1061.273007,5.73670522,166273.2265,115287.3311,0.09753266,male
Austria,2008,-7081.769511,-57841.99363,-64923.76314,455325.6215,-139387.1796,-52154.05066,0,16335.71866,9852.009287,289972.1192,225048.3561,0.105631729,male
Belgium,2005,-2133.056883,-30841.69125,-32974.74813,330066.1635,-145966.0303,-50056.1335,0,14294.08008,861.7650644,149199.8449,116225.0968,0.119599203,male
Canada,2008,-18094.03521,-32493.85591,-50587.89113,284705.3447,-92145.01154,-5371.418495,0,15816.08394,1103.20953,204108.2082,153520.317,0.107831945,male
Chile,,m,m,m,m,m,m,m,m,m,m,m,m,male
Czech Republic,2008,-5062.204319,-22918.83723,-27981.04155,405482.0487,-83316.30415,-51577.34545,0,7071.830025,,277660.2291,249679.1875,0.197384956,male
Denmark,2008,-3123.763268,-52320.20751,-55443.97078,244797.5167,-130075.8862,-19062.10584,-4821.104275,-4214.704111,25189.30547,111813.0218,56369.05098,0.07915321,male
Estonia,2008,-6117.263392,-23804.77074,-29922.03413,124705.0365,-27312.83647,-3507.479247,0,10249.82786,,104134.5487,74212.51456,0.131797798,male
Finland,2008,-1925.009781,-57211.1914,-59136.20118,334536.8284,-135987.3542,-22276.15491,0,19740.28349,8730.362708,204743.9656,145607.7644,0.109271848,male
France,2008,-7868.138202,-54587.64451,-62455.78271,341205.0926,-86399.43979,-44450.67789,0,8431.409247,3619.554305,222405.9385,159950.1558,0.099243128,male
Germany,2008,-6541.766,-63112.71326,-69654.47926,384498.9622,-151331.3105,-73281.7894,0,48429.14097,6021.165447,214336.1687,144681.6895,0.095501009,male
Greece,,m,m,m,m,m,m,m,m,m,m,m,m,male
Hungary,2008,-4425.888236,-15223.35561,-19649.24385,470933.7826,-190102.9635,-85379.23898,0,31300.71959,1282.779808,228035.0795,208385.8356,0.247696112,male
Iceland,,m,m,m,m,m,m,m,m,m,m,m,m,male
Ireland,2008,-7482.014904,-60313.44439,-67795.4593,475562.9958,-194735.3977,-17925.8072,0,24353.193,4360.995415,291615.9794,223820.5201,0.128138679,male
Israel,2008,-17469.31326,-31486.17253,-48955.4858,313486.9895,-89214.4362,-37998.13068,0,6263.143149,,192537.5658,143582.08,0.102632712,male
Italy,2008,-7285.260237,-50608.00672,-57893.26696,408011.1994,-159561.8027,-41835.24784,0,3295.463534,3329.87124,213239.4836,155346.2167,0.080767563,male
Japan,2007,-37215.24642,-66750.17217,-103965.4186,326613.9757,-64522.56907,-36039.06533,0,20930.62054,,246982.9619,143017.5433,0.074292712,male
Korea,2008,-23591.9761,-55396.83803,-78988.81412,321520.3154,-43198.45333,-24275.14184,0,14707.66363,,268754.3838,189765.5697,0.092840023,male
Luxembourg,,m,m,m,m,m,m,m,m,m,m,m,m,male
Mexico,,m,m,m,m,m,m,m,m,m,m,m,m,male
Netherlands,2008,-14112.80424,-90118.15123,-104230.9555,455295.6458,-202174.5466,-22152.87658,0,4778.083695,14370.54509,250116.8514,145885.8959,0.079413602,male
New Zealand,2008,-9475.557788,-47385.5606,-56861.11839,172607.1406,-63340.7987,-2253.534251,-6.1824161,434.2944917,1891.22989,109332.1496,52471.03121,0.061012617,male
Norway,2008,-1180.006141,-68021.6793,-69201.68545,267137.2461,-99739.64459,-20722.38133,0,-1623.486241,6226.32728,151278.0612,82076.37573,0.061465283,male
Poland,2008,-6291.363693,-15995.34341,-22286.7071,367018.6289,-55868.00184,-83936.69168,0,23960.47539,1742.463843,252916.8746,230630.1675,0.234499586,male
Portugal,2006,-5903.2271,-24146.35051,-30049.57761,484640.221,-77432.20967,-28585.55731,0,25278.14001,,403900.5941,373851.0165,0.184594766,male
Slovak Republic,2008,-5542.767668,-13269.16955,-18811.93722,285336.7833,-41848.01686,-38546.79235,0,21503.15308,1250.30432,227695.4315,208883.4943,0.241700662,male
Slovenia,2007,-5894.515314,-20705.04713,-26599.56244,430880.396,-97102.87834,-84520.48151,0,2804.759028,200.3452592,252262.1405,225662.578,0.191358765,male
Spain,2008,-10051.49878,-37384.80944,-47436.30822,195792.7339,-53119.53004,-13796.32494,0,21534.22495,,150411.1039,102974.7956,0.092543283,male
Sweden,2008,-4913.0541,-59656.96545,-64570.01955,221485.9322,-99336.49619,-7996.830755,0,3530.370984,8340.900624,126023.8768,61453.85726,0.063504728,male
Switzerland,,m,m,m,m,m,m,m,m,m,m,m,m,male
Turkey,2005,-1061.227057,-9402.05984,-10463.2869,106984.9941,-18681.52695,-16424.10468,0,2761.120384,,74640.48282,64177.19592,0.192590468,male
United Kingdom,2008,-28703.7627,-93851.15481,-122554.9175,364135.8416,-82074.09871,-37666.4921,0,19309.84932,2243.667285,265948.7674,143393.8499,0.073694058,male
United States,2008,-71052.98849,-45169.8582,-116222.8467,674276.5303,-223007.8082,-55325.73823,0,49831.81812,,445774.802,329551.9554,0.115093255,male
OECD average,,-11929.48231,-44163.46121,-56092.94352,340198.6909,-105724.8462,-34897.05689,-172.4030961,14720.30535,5295.923082,217718.3522,161625.4087,0.123599513,male
EU21 average,,-7306.662777,-42526.52973,-49833.1925,352608.8013,-106175.9827,-41558.76871,-283.5943691,16641.99147,5858.748078,225712.666,175879.4735,0.138616581,male
Australia,2005,-14426.02599,-36509.63214,-50935.65813,225539.9012,-74613.51917,0,0,15135.96879,5.73670522,166068.0875,115132.4294,0.117887682,female
Austria,2008,-7081.769511,-57719.12895,-64800.89846,309443.9556,-88579.8287,-57803.66521,0,10067.73925,9852.009287,182980.2102,118179.3118,0.086459481,female
Belgium,2005,-2133.056883,-29666.2602,-31799.31709,255952.7915,-103548.6509,-57031.3864,0,36371.23871,861.7650644,132605.758,100806.4409,0.144096655,female
Canada,2008,-18094.03521,-33461.20948,-51555.24469,229354.3514,-59998.3374,-17326.67418,0,9909.29201,1103.20953,163041.8413,111486.5966,0.110112077,female
Chile,,m,m,m,m,m,m,m,m,m,m,m,m,female
Czech Republic,2008,-4914.761474,-22213.76684,-27128.52831,229623.2489,-49087.78021,-30986.63181,0,18443.53064,,167992.3676,140863.8393,0.163000138,female
Denmark,2008,-3123.763268,-51864.88545,-54988.64872,146732.8185,-55606.41134,-12208.94025,-7081.172372,4394.85851,25189.30547,101420.4585,46431.80982,0.08709536,female
Estonia,2008,-6117.263392,-23843.36708,-29960.63047,91458.13624,-20035.35578,-2590.937256,0,8253.990066,,77085.83327,47125.2028,0.096437106,female
Finland,2008,-1925.009781,-57436.00719,-59361.01697,203311.2878,-71668.48237,-13865.91588,-1660.740212,18032.11148,8730.362708,142878.6235,83517.60653,0.089916284,female
France,2008,-7868.138202,-52263.11697,-60131.25518,227628.8291,-45922.55175,-33756.22265,-84.31857585,19075.8057,3619.554305,170561.0962,110429.841,0.094321111,female
Germany,2008,-6541.766,-63642.7376,-70184.5036,266911.6892,-80528.0918,-60156.90891,-926.417067,24177.53238,6021.165447,155498.9693,85314.46566,0.082081155,female
Greece,,m,m,m,m,m,m,m,m,m,m,m,m,female
Hungary,2008,-4425.888236,-14717.26418,-19143.15241,253440.7239,-110971.221,-47460.11519,0,25592.74656,1282.779808,121884.9141,102741.7617,0.181332543,female
Iceland,,m,m,m,m,m,m,m,m,m,m,m,m,female
Ireland,2008,-7482.014904,-63061.64631,-70543.66121,341155.9697,-92252.63441,-29519.33641,0,10885.21361,4360.995415,234630.2079,164086.5467,0.114981427,female
Israel,2008,-17469.31326,-30772.71641,-48242.02967,177689.1921,-29269.48643,-20793.28856,0,16951.32957,,144577.7467,96335.71703,0.098665607,female
Italy,2008,-7285.260237,-47826.05027,-55111.3105,223810.9736,-79953.61786,-21985.99272,0,7562.52935,3329.87124,132763.7636,77652.45305,0.069335841,female
Japan,2007,-37215.24642,-49265.41348,-86480.6599,231305.7529,-20847.78554,-29116.7309,0,9951.496671,,191292.7331,104812.0732,0.078310443,female
Korea,2008,-23591.9761,-47606.57627,-71198.55237,205230.226,-8892.250778,-18027.14283,0,31992.09841,,210302.9308,139104.3785,0.096945899,female
Luxembourg,,m,m,m,m,m,m,m,m,m,m,m,m,female
Mexico,,m,m,m,m,m,m,m,m,m,m,m,m,female
Netherlands,2008,-14112.80424,-87458.13551,-101570.9397,339337.5912,-129641.3522,-30381.27889,0,9466.706199,14370.54509,203152.2114,101581.2717,0.070485795,female
New Zealand,2008,-9475.557788,-47867.06004,-57342.61783,123295.6111,-34552.7217,-1644.700823,-2591.089676,2862.700781,1891.22989,89261.0296,31918.41178,0.057545895,female
Norway,2008,-1180.006141,-68811.78309,-69991.78923,214414.453,-60616.63769,-16984.07887,0,3997.52502,6226.32728,147037.5887,77045.7995,0.07344867,female
Poland,2008,-6291.363693,-15058.26667,-21349.63036,215086.361,-24687.43598,-52035.08463,0,27163.58927,1742.463843,167269.8935,145920.2631,0.199159382,female
Portugal,2006,-5903.2271,-20482.76862,-26385.99572,355879.5166,-92120.40115,-36253.28791,0,9848.46626,,237354.2938,210968.2981,0.184444693,female
Slovak Republic,2008,-5542.767668,-12580.42757,-18123.19524,183916.6554,-34358.88789,-27820.70131,0,24458.87216,1250.30432,147446.2427,129323.0474,0.208308217,female
Slovenia,2007,-5894.515314,-20089.80034,-25984.31566,319493.3336,-74630.89406,-74593.42414,0,22535.38486,200.3452592,193004.7455,167020.4299,0.176629285,female
Spain,2008,-10051.49878,-35820.82097,-45872.31975,235493.5491,-61742.06925,-16760.55356,0,28174.86031,,185165.7866,139293.4669,0.112873848,female
Sweden,2008,-4913.0541,-59179.233,-64092.2871,134336.4236,-39173.64372,-10087.66549,0,10292.58123,8340.900624,103708.5963,39616.30916,0.057329764,female
Switzerland,,m,m,m,m,m,m,m,m,m,m,m,m,female
Turkey,2005,-1061.227057,-8184.591109,-9245.818166,116530.3981,-21266.6157,-19627.24978,0,14074.8294,,89711.36206,80465.5439,0.19176305,female
United Kingdom,2008,-28703.7627,-93776.80459,-122480.5673,352963.5632,-72696.24487,-40014.48468,-2242.336662,14270.38507,2243.667285,254524.5494,132043.9821,0.072761466,female
United States,2008,-71052.98849,-46090.06165,-117143.0501,389714.3463,-98286.50766,-31644.58888,0,25624.14821,,285407.398,168264.3478,0.088060317,female
OECD average,,-11924.2165,-42759.62614,-54683.84264,235680.4161,-61983.90776,-28945.60672,-520.9312344,16413.12609,5295.923082,164236.7585,109552.9159,0.114421043,female
EU21 average,,-7297.989668,-41857.41721,-49155.40688,240628.6491,-64353.85601,-33405.87459,-705.5873463,16660.59981,5858.748078,163304.1501,#REF!,#REF!,female
