Country,Year,Direct cost,Foregone taxes on earnings,Total costs,Income tax effect,Social contribution effect,Transfers effect,Unemployment effect,Total benefits,Net present value,Internal rate of return,Gender
Australia,2005,-14757.06405,-4270.044192,-19027.10824,32427.00292,0,886.4002912,9234.487391,42547.8906,23520.78235,0.079952553,male
Austria,2008,-42641.05341,-8326.282499,-50967.33591,69564.04202,53201.81573,7587.039976,10542.9735,140895.8712,89928.53532,0.09388359,male
Belgium,,,,,,,,,,,,male
Canada,2008,-23735.43034,-3282.108285,-27017.53863,35891.99043,7680.884646,373.5920846,8154.931179,52101.39834,25083.85971,0.064817619,male
Chile,,m,m,m,m,m,m,m,m,m,m,male
Czech Republic,2008,-20271.79306,56.30039607,-20215.49266,21869.37019,13499.60937,0,20336.09883,55705.07838,35489.58572,0.098557827,male
Denmark,2008,-30821.1757,-16280.48348,-47101.65918,74608.28051,15049.59257,13570.8946,7758.497973,110987.2656,63885.60647,0.083587888,male
Estonia,2008,-18085.63121,-1816.821951,-19902.45316,6333.646999,805.0985122,0,3366.98531,10505.73082,-9396.722343,0.002531372,male
Finland,2008,-20895.03421,-7072.734504,-27967.76871,25457.5789,4927.122801,6960.672055,8175.149392,45520.52315,17552.75444,0.066864102,male
France,2008,-31556.00458,-5799.337082,-37355.34166,20633.61245,15759.86766,3284.189087,9348.951976,49026.62117,11671.27952,0.044099648,male
Germany,2008,-26098.4197,-13680.64136,-39779.06105,15256.29911,13630.75235,14223.38617,28971.87467,72082.31229,32303.25124,0.084064982,male
Greece,,m,m,m,m,m,m,m,m,m,m,male
Hungary,2008,-15738.33236,-3142.11498,-18880.44734,27605.88786,12527.16234,0,13973.9128,54106.96299,35226.51565,0.093246197,male
Iceland,,m,m,m,m,m,m,m,m,m,m,male
Ireland,2008,-25948.48458,-164.4556107,-26112.94019,82207.17302,14857.44822,0,9790.491301,106855.1125,80742.17235,0.093283171,male
Israel,2008,-16917.92154,-1297.924528,-18215.84607,26378.40211,17092.20532,0,3854.806279,47325.41371,29109.56764,0.069273827,male
Italy,2008,-32918.64223,-10263.88695,-43182.52918,59002.91468,16776.33154,0,6638.41856,82417.66478,39235.1356,0.060213999,male
Japan,,,,,,,,,,,,male
Korea,2008,-21272.07869,-2614.484589,-23886.56328,8106.228387,12993.25514,0,4237.395885,25336.87941,1450.316133,0.032725037,male
Luxembourg,,m,m,m,m,m,m,m,m,m,m,male
Mexico,,m,m,m,m,m,m,m,m,m,m,male
Netherlands,,,,,,,,,,,,male
New Zealand,2008,-19455.27317,-5197.858842,-24653.13201,29331.39551,1201.35751,970.5614674,4578.422351,36081.73684,11428.60483,0.0494408,male
Norway,2008,-36851.05571,-17524.90947,-54375.96518,72823.72842,19402.75888,3186.723597,10536.90008,105950.111,51574.14579,0.072487381,male
Poland,2008,-16232.18729,-5564.772868,-21796.96016,5187.767975,11476.85673,0,7053.138085,23717.76279,1920.802632,0.034307765,male
Portugal,2006,-19937.10324,-3853.608407,-23790.71165,53798.298,23500.14122,0,-878.814718,76419.62449,52628.91284,0.077462342,male
Slovak Republic,2008,-13157.92269,-2837.095853,-15995.01855,17647.66227,14372.11078,0,36374.93072,68394.70377,52399.68522,0.150328022,male
Slovenia,2007,-20398.2488,-5164.046442,-25562.29524,17749.38399,24704.79734,0,6089.268452,48543.44978,22981.15454,0.061979027,male
Spain,2008,-19800.45521,-1282.124956,-21082.58016,23319.03665,6084.792746,0,4216.035649,33619.86504,12537.28488,0.047041138,male
Sweden,2008,-28557.06712,-8046.026335,-36603.09345,46631.38966,12302.0689,20045.56902,12032.56169,91011.58927,54408.49582,0.134977527,male
Switzerland,,m,m,m,m,m,m,m,m,m,m,male
Turkey,2005,-4776.477069,-4550.907812,-9327.384881,9996.698791,9513.754417,0,1188.207082,20698.66029,11371.27541,0.063620464,male
United Kingdom,2008,-17187.38373,4665.369665,-12522.01407,43564.23476,23960.32842,9148.55357,10317.36324,86990.47999,74468.46592,0.205700653,male
United States,2008,-33006.14617,-1850.634984,-34856.78116,64902.96791,22394.01317,5324.717495,9322.744993,101944.4436,67087.6624,0.095677115,male
OECD average,,-22840.65543,-5166.465437,-28007.12087,35611.79974,14708.56505,3422.491976,9808.629307,63551.48608,35544.3652,0.078404962,male
EU21 average,,-23543.81995,-5210.162542,-28753.98249,35908.03406,16319.75866,4401.194381,11418.10808,68047.09519,39293.1127,0.084242897,male
Australia,2005,-14757.06405,-4405.476205,-19162.54026,23936.24112,0,17610.52896,4083.546993,45630.31707,26467.77681,0.170998539,female
Austria,2008,-42641.05341,-8148.212648,-50789.26606,28779.60688,37860.02805,22992.82406,5886.085004,95518.54399,44729.27793,0.072075496,female
Belgium,,,,,,,,,,,,female
Canada,2008,-24447.49325,-3498.043203,-27945.53646,21739.68074,9997.637254,2192.459097,2730.768464,36660.54556,8715.0091,0.041830543,female
Chile,,m,m,m,m,m,m,m,m,m,m,female
Czech Republic,2008,-20271.79306,51.26531494,-20220.52774,19848.788,12252.33296,0,15484.44537,47585.56632,27365.03858,0.086600018,female
Denmark,2008,-30821.1757,-15849.00763,-46670.18333,47639.3223,11026.6761,0,3786.91883,62452.91723,15782.7339,0.048646674,female
Estonia,2008,-17047.442,-1597.409218,-18644.85121,9542.776913,1213.025762,0,2089.955369,12845.75804,-5799.093169,0.006843303,female
Finland,2008,-20895.03421,-7215.583524,-28110.61773,12907.7174,3450.09449,15567.50074,5971.178051,37896.49068,9785.872948,0.057672536,female
France,2008,-31556.00458,-5521.928443,-37077.93302,16827.20686,14807.77863,10229.35642,6994.319393,48858.66131,11780.72829,0.04433379,female
Germany,2008,-26098.4197,-13721.59732,-39820.01702,28195.35535,25932.90437,36713.62809,12611.7886,103453.6764,63633.65939,0.106011039,female
Greece,,m,m,m,m,m,m,m,m,m,m,female
Hungary,2008,-15738.33236,-2957.27821,-18695.61057,27536.12329,14539.40763,0,11789.33778,53864.8687,35169.25813,0.088534218,female
Iceland,,m,m,m,m,m,m,m,m,m,m,female
Ireland,2008,-25948.48458,-180.7490401,-26129.23362,22746.97411,15644.15966,0,985.3781697,39376.51194,13247.27832,0.049444124,female
Israel,2008,-16917.92154,-1255.230472,-18173.15201,6030.629855,5693.908706,82.16840203,882.9646977,12689.67166,-5483.480352,0.018237356,female
Italy,2008,-32918.64223,-9033.192706,-41951.83494,47152.99581,14467.19349,0,6910.012795,68530.20209,26578.36716,0.051723476,female
Japan,,,,,,,,,,,,female
Korea,2008,-21272.07869,-2512.773519,-23784.85221,1607.003809,5442.360592,0,4129.085044,11178.44945,-12606.40276,-0.004720341,female
Luxembourg,,m,m,m,m,m,m,m,m,m,m,female
Mexico,,m,m,m,m,m,m,m,m,m,m,female
Netherlands,,,,,,,,,,,,female
New Zealand,2008,-19455.27317,-5133.431247,-24588.70442,17142.54051,1059.991923,10027.82537,2234.950638,30465.30843,5876.604017,0.0408576,female
Norway,2008,-36851.05571,-17594.62718,-54445.68288,38484.43868,11569.61937,13728.64984,4527.509911,68310.2178,13864.53492,0.045315096,female
Poland,2008,-16232.18729,-4987.083552,-21219.27084,7206.175364,15942.15831,0,4570.860329,27719.194,6499.92316,0.041506361,female
Portugal,2006,-19937.10324,-2841.994832,-22779.09808,30147.39338,16589.73906,0,2097.871037,48835.00348,26055.9054,0.060537107,female
Slovak Republic,2008,-13157.92269,-2002.539064,-15160.46176,13423.74546,10932.1841,0,25821.09868,50177.02823,35016.56647,0.12575427,female
Slovenia,2007,-20398.2488,-5241.179423,-25639.42822,16273.9713,26130.32467,708.4723196,2576.798595,45689.56689,20050.13866,0.057818162,female
Spain,2008,-19800.45521,-1188.901106,-20989.35631,22399.78009,8050.589377,0,2949.646907,33400.01638,12410.66006,0.046683057,female
Sweden,2008,-28557.06712,-7998.599674,-36555.66679,33918.85619,9235.619664,28046.2637,11620.25735,82820.9969,46265.33011,0.126655133,female
Switzerland,,m,m,m,m,m,m,m,m,m,m,female
Turkey,2005,-4776.477069,-4891.627145,-9668.104214,10025.28386,11264.3668,0,-3462.919125,17826.73153,8158.627315,0.057622098,female
United Kingdom,2008,-17187.38373,2255.010492,-14932.37324,22136.39961,12175.02063,35050.74027,7710.03943,77072.19994,62139.8267,0.132383313,female
United States,2008,-33006.14617,-1888.833242,-34894.97941,41059.84385,17569.89759,10331.93247,3970.662335,72932.33624,38037.35683,0.076057516,female
OECD average,,-22827.61038,-5094.360912,-27921.97129,22668.35403,12513.88077,8131.29399,5958.102426,49271.63121,21349.65992,0.065976819,female
EU21 average,,-23482.74999,-5069.351799,-28552.10179,23922.54049,14720.54335,8782.869742,7638.587746,55064.54133,26512.43953,0.070777769,female
