Country,Year,Direct cost,Foregone taxes on earnings,Total costs,Income tax effect,Social contribution effect,Transfers effect,Unemployment effect,Grants effect,Total benefits,Net present value,Internal rate of return,Gender
Australia,2005,-13208.77672,-6862.640114,-20071.41684,112913.6451,0,0,399.5162917,-5.73670522,113307.4247,93236.00789,0.130498038,male
Austria,2008,-39080.86941,-10505.32454,-49586.19395,136010.2914,49715.0653,0,5815.873551,-9852.009287,181689.2209,132103.027,0.087741688,male
Belgium,2005,-20551.72912,-8131.923409,-28683.65253,141568.6751,48059.75878,0,6393.729881,-861.7650644,195160.3987,166476.7462,0.14841351,male
Canada,2008,-25745.33656,-3823.272756,-29568.60932,89048.48201,4483.369797,0,3984.578226,-1103.20953,96413.22051,66844.61119,0.08877855,male
Chile,,m,m,m,m,m,m,m,m,m,m,m,male
Czech Republic,2008,-19177.2739,73.66378584,-19103.61012,82125.58524,50694.80762,0,2073.256733,,134893.6496,115790.0395,0.16207232,male
Denmark,2008,-66834.64915,-23513.85352,-90348.50267,131307.206,19543.88522,4821.104275,-1713.099151,-25189.30547,128769.7909,38421.28819,0.042860529,male
Estonia,2008,-22774.02238,-3459.113097,-26233.13548,25504.98534,3242.053816,0,2073.276563,,30820.31572,4587.18024,0.039966649,male
Finland,2008,-40184.32896,-13401.64242,-53585.97138,130540.1376,21043.63592,0,6679.735565,-8730.362708,149533.1464,95947.17499,0.078238101,male
France,2008,-35052.31719,-10633.36407,-45685.68126,85337.53633,43297.00203,0,2215.579328,-3619.554305,127230.5634,81544.88212,0.074815108,male
Germany,2008,-38266.7467,-24200.63677,-62467.38347,139891.0806,63979.93858,0,20742.08066,-6021.165447,218591.9344,156124.5509,0.094163113,male
Greece,,m,m,m,m,m,m,m,m,m,m,m,male
Hungary,2008,-15556.38107,-3659.083808,-19215.46488,180835.1195,80071.63257,0,14575.45047,-1282.779808,274199.4227,254983.9578,0.272106658,male
Iceland,,m,m,m,m,m,m,m,m,m,m,m,male
Ireland,2008,-35397.12933,-301.5251095,-35698.65444,189708.1061,16765.13185,0,6187.966936,-4360.995415,208300.2095,172601.555,0.13278914,male
Israel,2008,-18416.55444,-1359.705603,-19776.26004,88357.26492,37478.17926,0,1377.122702,,127212.5669,107436.3068,0.126821634,male
Italy,2008,-17537.94496,-11835.98382,-29373.92877,157695.7643,41484.12949,0,2217.156694,-3329.87124,198067.1793,168693.2505,0.10132304,male
Japan,2007,-17896.84323,-15254.11665,-33150.95988,62284.54311,33612.47822,0,4664.613068,,100561.6344,67410.67452,0.084031678,male
Korea,2008,-6770.171507,-5336.55002,-12106.72153,42362.72505,23177.26228,0,1933.607847,,67473.59518,55366.87365,0.115846249,male
Luxembourg,,m,m,m,m,m,m,m,m,m,m,m,male
Mexico,,m,m,m,m,m,m,m,m,m,m,m,male
Netherlands,2008,-37381.70558,-39015.33653,-76397.04211,201244.1659,21219.76672,0,1863.490644,-14370.54509,209956.8781,133559.836,0.074196774,male
New Zealand,2008,-22524.09636,-7272.785727,-29796.88208,63169.57278,2247.870422,6.1824161,176.8897487,-1891.22989,63709.28548,33912.4034,0.06319843,male
Norway,2008,-36777.27651,-22140.90002,-58918.17653,99985.33764,20848.48294,0,-371.7946504,-6226.32728,114235.6986,55317.52212,0.054112817,male
Poland,2008,-14435.03514,-5361.369478,-19796.40462,53177.05991,78803.92431,0,7823.709297,-1742.463843,138062.2297,118265.8251,0.150332345,male
Portugal,2006,-11847.88573,-4705.609549,-16553.49527,73992.51713,27166.89551,0,4858.354339,,106017.767,89464.27171,0.180742359,male
Slovak Republic,2008,-15032.56381,-5952.652091,-20985.2159,38685.46315,35766.03657,0,5943.309491,-1250.30432,79144.50489,58159.28899,0.112903723,male
Slovenia,2007,-19911.3992,-5847.725456,-25759.12465,96666.79161,83921.0723,0,1035.495937,-200.3452592,181423.0146,155663.8899,0.162724272,male
Spain,2008,-37505.68664,-3819.092372,-41324.77901,49879.00525,12434.01105,0,4602.838674,,66915.85498,25591.07597,0.052731921,male
Sweden,2008,-39997.2101,-16312.53487,-56309.74497,98282.42465,7793.672691,0,1257.229604,-8340.900624,98992.42632,42682.68136,0.051465909,male
Switzerland,,m,m,m,m,m,m,m,m,m,m,m,male
Turkey,2005,-9567.185798,-3814.145343,-13381.33114,18209.34569,16010.20964,0,886.0763056,,35105.63163,21724.30049,0.09261562,male
United Kingdom,2008,-15151.18051,-15796.02112,-30947.20163,78787.86547,35928.05628,0,5024.669073,-2243.667285,117496.9235,86549.7219,0.110063803,male
