Country,Year,Direct cost,Foregone earnings,Total costs,Gross earnings benefits ,Income tax effect,Social contribution effect,Transfers effect,Unemployment effect,Grants effect,Total benefits,Net present value,Internal rate of return,Gender,Attainment,Sector
Australia,2005,-14426,-36560,-50986,278519,-113313,0,0,1061,6,166273,115287,0.10,male,tertiary,private
Austria,2008,-7082,-57842,-64924,455326,-139387,-52154,0,16336,9852,289972,225048,0.11,male,tertiary,private
Belgium,2005,-2133,-30842,-32975,330066,-145966,-50056,0,14294,862,149200,116225,0.12,male,tertiary,private
Canada,2008,-18094,-32494,-50588,284705,-92145,-5371,0,15816,1103,204108,153520,0.11,male,tertiary,private
Chile,,m,m,m,m,m,m,m,m,m,m,m,m,male,tertiary,private
Czech Republic,2008,-5062,-22919,-27981,405482,-83316,-51577,0,7072,,277660,249679,0.20,male,tertiary,private
Denmark,2008,-3124,-52320,-55444,244798,-130076,-19062,-4821,-4215,25189,111813,56369,0.08,male,tertiary,private
Estonia,2008,-6117,-23805,-29922,124705,-27313,-3507,0,10250,,104135,74213,0.00,male,tertiary,private
Finland,2008,-1925,-57211,-59136,334537,-135987,-22276,0,19740,8730,204744,145608,0.11,male,tertiary,private
France,2008,-7868,-54588,-62456,341205,-86399,-44451,0,8431,3620,222406,159950,0.10,male,tertiary,private
Germany,2008,-6542,-63113,-69654,384499,-151331,-73282,0,48429,6021,214336,144682,0.10,male,tertiary,private
Greece,,m,m,m,m,m,m,m,m,m,m,m,m,male,tertiary,private
Hungary,2008,-4426,-15223,-19649,470934,-190103,-85379,0,31301,1283,228035,208386,0.25,male,tertiary,private
Iceland,,m,m,m,m,m,m,m,m,m,m,m,m,male,tertiary,private
Ireland,2008,-7482,-60313,-67795,475563,-194735,-17926,0,24353,4361,291616,223821,0.13,male,tertiary,private
Israel,2008,-17469,-31486,-48955,313487,-89214,-37998,0,6263,,192538,143582,0.10,male,tertiary,private
Italy,2008,-7285,-50608,-57893,408011,-159562,-41835,0,3295,3330,213239,155346,0.08,male,tertiary,private
Japan,2007,-37215,-66750,-103965,326614,-64523,-36039,0,20931,,246983,143018,0.07,male,tertiary,private
Korea,2008,-23592,-55397,-78989,321520,-43198,-24275,0,14708,,268754,189766,0.09,male,tertiary,private
Luxembourg,,m,m,m,m,m,m,m,m,m,m,m,m,male,tertiary,private
Mexico,,m,m,m,m,m,m,m,m,m,m,m,m,male,tertiary,private
Netherlands,2008,-14113,-90118,-104231,455296,-202175,-22153,0,4778,14371,250117,145886,0.08,male,tertiary,private
New Zealand,2008,-9476,-47386,-56861,172607,-63341,-2254,-6,434,1891,109332,52471,0.06,male,tertiary,private
Norway,2008,-1180,-68022,-69202,267137,-99740,-20722,0,-1623,6226,151278,82076,0.06,male,tertiary,private
Poland,2008,-6291,-15995,-22287,367019,-55868,-83937,0,23960,1742,252917,230630,0.23,male,tertiary,private
Portugal,2006,-5903,-24146,-30050,484640,-77432,-28586,0,25278,,403901,373851,0.19,male,tertiary,private
Slovak Republic,2008,-5543,-13269,-18812,285337,-41848,-38547,0,21503,1250,227695,208883,0.24,male,tertiary,private
Slovenia,2007,-5895,-20705,-26600,430880,-97103,-84520,0,2805,200,252262,225663,0.19,male,tertiary,private
Spain,2008,-10051,-37385,-47436,195793,-53120,-13796,0,21534,,150411,102975,0.09,male,tertiary,private
Sweden,2008,-4913,-59657,-64570,221486,-99336,-7997,0,3530,8341,126024,61454,0.06,male,tertiary,private
Switzerland,,m,m,m,m,m,m,m,m,m,m,m,m,male,tertiary,private
Turkey,2005,-1061,-9402,-10463,106985,-18682,-16424,0,2761,,74640,64177,0.19,male,tertiary,private
United Kingdom,2008,-28704,-93851,-122555,364136,-82074,-37666,0,19310,2244,265949,143394,0.07,male,tertiary,private
United States,2008,-71053,-45170,-116223,674277,-223008,-55326,0,49832,,445775,329552,0.12,male,tertiary,private
OECD average,,-11929,-44163,-56093,340199,-105725,-34897,-172,14720,5296,217718,161625,0.12,male,tertiary,private
EU21 average,,-7307,-42527,-49833,352609,-106176,-41559,-284,16642,5859,225713,175879,0.14,male,tertiary,private
Australia,2005,-14426,-36510,-50936,225540,-74614,0,0,15136,6,166068,115132,0.12,female,tertiary,private
Austria,2008,-7082,-57719,-64801,309444,-88580,-57804,0,10068,9852,182980,118179,0.09,female,tertiary,private
Belgium,2005,-2133,-29666,-31799,255953,-103549,-57031,0,36371,862,132606,100806,0.14,female,tertiary,private
